DC2101EW - Ethnic group by sex by age,,,,,,,,,,,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 21 April 2020],,,,,,,,,,,,,,,,,,,
Population :,All usual residents,,,,,,,,,,,,,,,,,,
Units      :,Persons,,,,,,,,,,,,,,,,,,
Date       :,2011,,,,,,,,,,,,,,,,,,
Area Type  :,countries,,,,,,,,,,,,,,,,,,
Area Name  :,England,,,,,,,,,,,,,,,,,,
Sex        :,All persons,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Age,All categories: Ethnic group,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
,,,,,,,,,,,,,,,,,,,
Age 0 to 4,3318449,2346692,8876,5725,159229,65207,35440,65370,49230,97651,128254,49751,17762,65367,107663,29427,38256,24742,23807
Age 5 to 7,1827610,1330479,5108,3219,65841,33604,15443,30702,22298,50500,73105,30188,7810,35930,57985,18678,21055,13125,12540
Age 8 to 9,1145022,851656,3632,2006,38048,20442,7995,16621,12060,29900,45880,19405,4597,20631,32276,12409,12700,7192,7572
Age 10 to 14,3080929,2371037,9853,5431,91401,54101,17654,37881,28412,74558,100584,43910,14216,52872,80784,34932,28723,15256,19324
Age 15,650826,509648,2159,1089,17903,10940,3048,7062,5240,15416,18694,8493,4015,10665,16567,7837,5289,2697,4064
Age 16 to 17,1314124,1032818,4261,2145,35057,21750,5704,13614,10199,30925,36806,15262,10708,22438,31893,15734,10125,5828,8857
Age 18 to 19,1375315,1072911,5855,1750,44359,21346,5214,13124,9690,35838,36318,14769,17424,23579,32336,15981,8483,7147,9191
Age 20 to 24,3595321,2653657,21598,4464,210971,44936,12297,30838,24946,116940,97556,42191,77628,69606,78777,39868,19511,21831,27706
Age 25 to 29,3650881,2477262,29344,4189,392997,32377,11775,25743,26564,155801,115016,45838,46598,79970,85516,38332,21072,25132,37355
Age 30 to 34,3509221,2352689,30549,3833,383203,22671,11162,20549,23128,156271,113299,44265,37461,90575,100903,36229,19038,23556,39840
Age 35 to 39,3549116,2612939,31706,3779,263497,18857,9210,16277,17444,123306,87176,37457,29281,93936,95126,38507,17830,20014,32774
Age 40 to 44,3885934,3097372,38617,3828,185553,19570,7912,15510,14531,100891,71122,25380,23760,71331,88942,56387,23300,15966,25962
Age 45 to 49,3879815,3239733,41192,3547,139228,17532,6522,12755,11847,84678,43567,15540,22048,51061,65728,68568,23603,11784,20882
Age 50 to 54,3400095,2896611,38447,2811,107776,10450,4659,8029,8122,82049,41005,12648,19314,39081,42603,49142,11962,8533,16853
Age 55 to 59,2996992,2614317,40860,2074,79331,5285,2944,5372,5552,73083,34833,9869,16009,30612,23001,29208,5164,6136,13342
Age 60 to 64,3172277,2882156,46076,1758,64486,4085,1669,4165,4354,53768,20143,5288,11597,24059,13900,17537,3152,4519,9565
Age 65 to 69,2508154,2288582,45501,1215,44403,3406,1200,3004,3435,36894,14152,4539,6240,14676,9283,19811,2694,2851,6268
Age 70 to 74,2044129,1844825,41355,905,36061,3164,724,2177,2344,33062,15522,6097,5525,10383,7800,24907,2604,1985,4689
Age 75 to 79,1669345,1523244,33277,594,26627,2605,465,1760,1696,23371,11043,3570,3901,6746,4052,19914,1892,1437,3151
Age 80 to 84,1258773,1166655,22217,303,22364,1855,317,1134,1093,12816,5534,1548,2166,3688,1714,11500,902,800,2167
Age 85 and over,1180128,1113953,16518,230,21675,1433,196,1021,820,7984,2673,506,1443,2196,892,6108,502,454,1524
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"In order to protect against disclosure of personal information, records",,,,,,,,,,,,,,,,,,
,have been swapped between different geographic areas. Some counts will,,,,,,,,,,,,,,,,,,
,"be affected, particularly small counts at the lowest geographies",,,,,,,,,,,,,,,,,,